match_no,date,venue,team1,team2,stage,toss_winner,toss_decision,first_innings_score,first_innings_wickets,second_innings_score,second_innings_wickets,team_won,won_by,margin,player_of_the_match,top_scorer,highest_score,best_bowler,best_bowling_figures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,15-05-2023,Ahmedabad,Gujrat,Hyderabad,Group,Hyderabad,Fielding,188,9,154,9,Gujrat,Runs,34,Shubman Gill,Shubman Gill,101,Bhuvneshwar Kumar,5-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,16-05-2023,Lucknow,Lucknow,Mumbai,Group,Mumbai,Fielding,177,3,172,5,Lucknow,Runs,5,Marcus Stoinis,Marcus Stoinis,89,Jason Behrendorff,2-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,17-05-2023,Dharamshala,Delhi,Punjab,Group,Punjab,Fielding,213,2,198,8,Delhi,Runs,15,Rilee Rossouw,Liam Livingstone,94,Anrich Nortje,2-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,18-05-2023,Hyderabad,Hyderabad,Bangalore,Group,Bangalore,Fielding,186,5,187,2,Bangalore,Wickets,8,Virat Kohli,Heinrich Klaasen,104,Michael Bracewell,2-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,19-05-2023,Dharamshala,Punjab,Rajasthan,Group,Rajasthan,Fielding,187,5,189,6,Rajasthan,Wickets,4,Devdutt Padikkal,Devdutt Padikkal,51,Adam Zampa,1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,20-05-2023,Delhi,Delhi,Chennai,Group,Chennai,Batting,223,3,146,9,Chennai,Runs,77,Ruturaj Gaikwad,Devon Conway,87,Matheesha Pathirana,2-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,20-05-2023,Kolkata,Kolkata,Lucknow,Group,Kolkata,Fielding,176,8,175,7,Lucknow,Runs,1,Nicholas Pooran,Rinku Singh,67,Ravi Bishnoi,2-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,21-05-2023,Mumbai,Mumbai,Hyderabad,Group,Mumbai,Fielding,200,5,201,2,Mumbai,Wickets,8,Cameron Green,Cameron Green,100,Akash Madhwal,4-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,21-05-2023,Bangalore,Bangalore,Gujrat,Group,Gujrat,Fielding,197,5,198,4,Gujrat,Wickets,6,Shubman Gill,Shubman Gill,104,Mohammed Siraj,2-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,23-05-2023,Chennai,Gujrat,Chennai,Playoffs,Gujrat,Fielding,172,7,157,10,Chennai,Runs,15,Ruturaj Gaikwad,Ruturaj Gaikwad,60,Ravindra Jadeja,2-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,24-05-2023,Chennai,Lucknow,Mumbai,Playoffs,Mumbai,Batting,182,8,101,10,Mumbai,Runs,81,Akash Madhwal,Cameron Green,41,Akash Madhwal,5-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,26-05-2023,Ahmedabad,Gujrat,Mumbai,Playoffs,Mumbai,Fielding,233,3,171,10,Gujrat,Runs,62,Shubman Gill,Shubman Gill,129,Mohit Sharma,5-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,28-05-2023,Ahmedabad,Chennai,Gujrat,Final,Chennai,Fielding,214,4,171,5,Chennai,Wickets,5,Devon Conway,Sai Sudharsan,96,Mohit Sharma,3-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
